node,degree,weighted_degree,clustering_coefficient,betweenness_centrality,closeness_centrality
Drug_4507,0,0.0,0.0,0.0,0.0
Drug_4543,358,285.75262479421787,0.830825116107477,2.1873686895233573e-08,0.24861111111111112
Drug_4585,358,293.479000154583,0.8458914383342807,2.1873686895233573e-08,0.24861111111111112
Drug_4595,10,6.2008850956219375,0.6375360862686874,0.0,0.01635838525441329
Drug_4601,57,25.89730273752013,0.4283796280019977,5.512967289650074e-05,0.04258177570093458
Drug_4615,70,50.66729381729382,0.6838023603043824,3.059059799490579e-06,0.04952445652173913
Drug_4631,358,338.5118791058311,0.9302464116783355,2.1873686895233573e-08,0.24861111111111112
Drug_4634,67,38.14503560165325,0.5958399585254498,1.7562474891999767e-06,0.047960526315789474
Drug_4636,358,334.56592999004187,0.9231326906400903,2.1873686895233573e-08,0.24861111111111112
Drug_4639,358,338.5118791058311,0.9302464116783351,2.1873686895233573e-08,0.24861111111111112
Drug_4673,7,6.0,0.8061697987819907,0.0,0.004861111111111111
Drug_4679,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4680,5,3.8784313725490196,0.7781616769820949,0.0,0.0034027777777777776
Drug_4735,15,11.966496534925083,0.7763943307755177,4.454660465779299e-07,0.010562865497076024
Drug_4736,358,330.2589022670536,0.915224542677661,2.1873686895233573e-08,0.24861111111111112
Drug_4740,3,3.0,1.0,0.0,0.0020833333333333333
Drug_4746,59,29.334126984126986,0.5630022662827462,1.1108544766141722e-06,0.04381009615384616
Drug_4747,358,315.8799172173118,0.8885173561881381,2.1873686895233573e-08,0.24861111111111112
Drug_4748,358,333.6548634199096,0.9214243779495772,2.1873686895233573e-08,0.24861111111111112
Drug_4768,358,332.72520032579257,0.9196745749996751,2.1873686895233573e-08,0.24861111111111112
Drug_4771,7,5.666666666666666,0.7669917644892357,0.0,0.0051136363636363645
Drug_4775,3,2.25,0.7310044345532164,0.0,0.0020833333333333333
Drug_4782,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4810,4,2.6285714285714286,0.6292094947991862,0.0,0.004166666666666667
Drug_4828,358,337.02062515546254,0.9275575806475225,2.1873686895233573e-08,0.24861111111111112
Drug_4829,80,70.14843030203677,0.8398356049824233,2.533588139911976e-05,0.04986187845303867
Drug_4830,358,337.5611442436862,0.9285612640195019,2.1873686895233573e-08,0.24861111111111112
Drug_4848,68,48.98547563547563,0.6958701769815575,1.5063898736005674e-06,0.0474609375
Drug_4850,358,338.5118791058311,0.9302464116783358,2.1873686895233573e-08,0.24861111111111112
Drug_4887,0,0.0,0.0,0.0,0.0
Drug_4888,19,13.91606824548001,0.6470026927844248,1.4707450426699906e-06,0.013315217391304347
Drug_4893,358,329.5798477158909,0.9139180219627596,2.1873686895233573e-08,0.24861111111111112
Drug_4908,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4911,5,3.6666666666666665,0.7631428283688878,0.0,0.003472222222222222
Drug_4913,22,15.989459815546772,0.7323915287883386,0.0,0.012413810086682426
Drug_4917,358,321.27568525157733,0.8987042908828029,2.1873686895233573e-08,0.24861111111111112
Drug_4919,73,58.172721722721725,0.7069899529024115,5.083102380002764e-06,0.051193820224719105
Drug_4926,358,326.48954737270105,0.9083761816887107,2.1873686895233573e-08,0.24861111111111112
Drug_4927,358,327.94287021681413,0.9110613651588125,2.1873686895233573e-08,0.24861111111111112
Drug_4932,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4946,358,332.58276338247634,0.9195089913470528,2.1873686895233573e-08,0.24861111111111112
Drug_4976,358,328.8160045071392,0.9126777952141681,2.1873686895233573e-08,0.24861111111111112
Drug_4991,22,18.76043956043956,0.8101853033039514,0.0,0.012413810086682426
Drug_4992,11,5.390618640618641,0.47103738375882875,3.2172547808406047e-07,0.02939516129032258
Drug_4993,7,3.571428571428571,0.5684367439851987,0.0,0.0051136363636363645
Drug_5002,358,295.8829114620648,0.8505103063500504,2.1873686895233573e-08,0.24861111111111112
Drug_5029,1,0.6666666666666666,0.0,0.0,0.0006944444444444445
Drug_5032,3,1.6,0.5864012532015569,0.0,0.004
Drug_5035,80,46.3014219058163,0.634019169786657,5.2602115666743885e-05,0.04986187845303867
Drug_5070,1,1.0,0.0,0.0,0.0006944444444444445
Drug_5073,358,322.6117032041734,0.9011913197490261,2.1873686895233573e-08,0.24861111111111112
Drug_5078,358,338.5118791058311,0.9302464116783359,2.1873686895233573e-08,0.24861111111111112
Drug_5090,358,321.4305298328122,0.8988453730774726,2.1873686895233573e-08,0.24861111111111112
Drug_5095,358,337.5611442436862,0.9285612640195016,2.1873686895233573e-08,0.24861111111111112
Drug_5152,358,338.5118791058311,0.9302464116783354,2.1873686895233573e-08,0.24861111111111112
Drug_5184,73,58.172721722721725,0.7069899529024111,5.083102380002764e-06,0.051193820224719105
Drug_5210,9,5.666666666666666,0.45157906521090374,5.791058605513088e-06,0.00625
Drug_5212,5,3.9831932773109244,0.7896448310019831,0.0,0.0034027777777777776
Drug_5213,20,14.6,0.5657295844793985,4.211678985827701e-06,0.013920454545454547
Drug_5238,1,1.0,0.0,0.0,0.0006944444444444445
Drug_5245,7,6.0,0.8061697987819907,0.0,0.004861111111111111
Drug_5253,2,1.4615384615384617,0.5972258520504852,0.0,0.002702702702702703
Drug_5291,14,9.3458058066865,0.667385460873329,0.0,0.009782608695652175
Drug_5311,3,2.8181818181818183,0.9384364685966974,0.0,0.00248015873015873
Drug_5314,24,16.792572463768117,0.6231239171906515,0.0002246448150721952,0.015024439675727228
Drug_5318,4,2.4333333333333336,0.4058142183487423,9.651764342521813e-07,0.002777777777777778
Drug_5333,28,18.57398190045249,0.6278175733877835,6.032352714076133e-05,0.020891203703703703
